date,exchange_rate
2009-01-02,0
2009-01-05,0
2009-01-08,0
2009-11-13,0
2009-11-16,0
2009-11-19,0
2011-10-29,3.39
2011-10-31,3.38
2011-11-03,3.28
2011-11-06,3.04
2011-11-09,3.09
2011-11-12,3.11
2011-11-15,2.67
2014-02-02,814.34
2014-02-05,781
2014-02-08,680.8
2014-02-11,675.1
2014-02-14,670.29
2014-02-17,629.96
2014-02-20,563
2014-02-23,611.05
2022-03-22,42372.67
2022-03-25,44334.33
2022-03-29,47115.93
